query,entity_group,ground_truth_chunk_ids,baseline_recall,candidate_recall,delta,outcome,baseline_top_5,candidate_top_5
where does the red river start and end in louisiana,single-entity,"['194242_0', '194242_9', '194242_3']",0.0,0.0,0.0,unchanged,"['126459_18', '1494_94', '1494_95', '59840480_14', '691_47']","['126459_18_c0', '1494_94_c0', '1494_95_c0', '59840480_14_c0', '691_47_c0']"
where was the louisiana purchase signed in 1803,multi-entity,"['17628_40', '191926_1', '17628_19']",0.0,0.0,0.0,unchanged,"['691_72', '691_47', '691_70', '691_54', '691_69']","['691_72_c0', '691_47_c0', '691_70_c0', '691_54_c0', '691_69_c0']"
where's the pro bowl going to be this year,single-entity,"['52757315_1', '52757315_0', '52757315_4']",1.0,1.0,0.0,unchanged,"['52757315_0', '52757315_31', '52757315_1', '52757315_4', '52757315_6']","['52757315_0_c0', '52757315_31_c0', '52757315_1_c0', '52757315_4_c0', '52757315_6_c0']"
which abbott and costello movie has who on first,multi-entity,"['105969_11', '106089_6']",0.0,0.0,0.0,unchanged,"['8134096_40', '12989608_2', '161897_2', '161897_42', '161897_1']","['8134096_40_c0', '12989608_2_c0', '161897_2_c0', '161897_42_c0', '161897_1_c0']"
who are the judges on do you think you can dance,single-entity,"['38020871_0', '26401606_3', '38020871_21', '38020871_64']",0.0,0.0,0.0,unchanged,"['9704619_61', '9704619_63', '21264913_0', '9704619_62', '361971_29']","['9704619_61_c0', '9704619_63_c0', '21264913_0_c0', '9704619_62_c0', '361971_29_c0']"
who did michael showers play on vampire diaries,single-entity,"['32031867_6', '25517474_3']",0.0,0.0,0.0,unchanged,"['1102458_146', '1102458_57', '1102458_56', '1102458_95', '21264913_38']","['1102458_146_c0', '1102458_57_c0', '1102458_56_c0', '1102458_95_c0', '21264913_38_c0']"
who does the voice of cruz on cars 3,single-entity,"['41498488_1', '41498488_0', '41498488_47']",0.0,0.0,0.0,unchanged,"['5715768_179', '5715768_114', '1102458_29', '1102458_55', '38331059_6']","['5715768_179_c0', '5715768_114_c0', '1102458_29_c0', '1102458_55_c0', '38331059_6_c0']"
who donates a christmas tree to trafalgar square,single-entity,['22141582_1'],1.0,1.0,0.0,unchanged,"['22141582_0', '22141582_1', '22141582_3', '22141582_7', '22141582_17']","['22141582_0_c0', '22141582_1_c0', '22141582_3_c0', '22141582_7_c0', '22141582_17_c0']"
who had the most governmental power under the articles of confederation,single-entity,"['691_0', '691_16']",1.0,1.0,0.0,unchanged,"['691_0', '691_49', '691_1', '691_16', '691_14']","['691_0_c0', '691_49_c0', '691_1_c0', '691_16_c0', '691_14_c0']"
who has majority in the house and senate,single-entity,"['12844936_1', '12844936_0']",0.0,0.0,0.0,unchanged,"['30622317_27', '8872619_59', '691_33', '691_22', '6235128_11']","['30622317_27_c0', '8872619_59_c0', '691_33_c0', '691_22_c0', '6235128_11_c0']"
who has the most gold gloves at shortstop,single-entity,"['23318451_1', '23318451_2', '301428_5']",0.0,0.0,0.0,unchanged,"['3522201_6', '3522201_3', '52757315_26', '3522201_4', '3522201_5']","['3522201_6_c0', '3522201_3_c0', '52757315_26_c0', '3522201_4_c0', '3522201_5_c0']"
who invented the first computer game in 1962 and what was the name of the game,multi-entity,"['5482854_0', '5482854_1', '5482854_22']",0.0,0.0,0.0,unchanged,"['47106911_26', '27023036_7', '44320604_3', '1245539_57', '47300_2']","['47106911_26_c0', '27023036_7_c0', '44320604_3_c0', '1245539_57_c0', '47300_2_c0']"
who is often associated with printing the first book using moveable type in germany,multi-entity,"['286327_1', '47300_46', '47300_4']",0.3333333333333333,0.3333333333333333,0.0,unchanged,"['47300_3', '286327_11', '286327_49', '47300_15', '47300_5']","['47300_3_c0', '286327_11_c0', '286327_49_c0', '47300_15_c0', '47300_5_c0']"
who played the nurse on andy griffith show,single-entity,"['3300249_12', '3300249_0']",0.0,0.0,0.0,unchanged,"['20274555_0', '1102458_12', '1102458_14', '20274555_6', '20274555_1']","['20274555_0_c0', '1102458_12_c0', '1102458_14_c0', '1102458_11_c0', '20274555_6_c0']"
who plays in the new mary poppins movie,single-entity,"['47886328_22', '47886328_1']",0.0,0.0,0.0,unchanged,"['2066382_2', '20013780_38', '12989608_5', '361971_12', '12989608_6']","['2066382_2_c0', '20013780_38_c0', '12989608_5_c0', '361971_12_c0', '12989608_6_c0']"
who proclaimed 5th october as world’s teachers day,multi-entity,"['2822215_0', '2822215_1']",1.0,1.0,0.0,unchanged,"['2822215_0', '2822215_1', '2822215_5', '2822215_3', '2822215_11']","['2822215_0_c0', '2822215_1_c0', '2822215_5_c0', '2822215_3_c0', '2822215_11_c0']"
who proposed evolution in 1859 as the basis of biological development,single-entity,"['21501970_2', '8787159_1', '1494_1']",0.3333333333333333,0.3333333333333333,0.0,unchanged,"['1494_43', '1494_42', '1494_70', '1494_78', '1494_58']","['1494_70_c0', '1494_43_c0', '1494_42_c0', '1494_78_c0', '1494_58_c0']"
who sang oh annie i not your daddy,single-entity,['51907344_1'],0.0,0.0,0.0,unchanged,"['20013780_36', '20013780_38', '361971_19', '33545013_14', '33545013_15']","['20013780_36_c0', '20013780_38_c0', '361971_19_c0', '33545013_14_c0', '33545013_15_c0']"
who sang the song should have been a cowboy,single-entity,"['682527_1', '11795344_1']",0.0,0.0,0.0,unchanged,"['161897_34', '8134096_6', '9704619_28', '33545013_15', '1494_106']","['161897_34_c0', '8134096_6_c0', '9704619_28_c0', '33545013_15_c0', '1494_106_c0']"
who scored the most points in a single game in the nba,single-entity,['1960952_5'],0.0,0.0,0.0,unchanged,"['3177042_19', '3177042_17', '3177042_23', '3177042_30', '3177042_21']","['3177042_19_c0', '3177042_17_c0', '3177042_23_c0', '3177042_30_c0', '3177042_21_c0']"
who sings ive loved you for a thousand years,single-entity,"['33545013_1', '33545013_0', '33545013_6', '38980545_3', '33545013_18']",0.4,0.4,0.0,unchanged,"['33545013_0', '33545013_1', '33545013_10', '33545013_3', '361971_19']","['33545013_0_c0', '33545013_1_c0', '33545013_10_c0', '33545013_3_c0', '361971_19_c0']"
who sings the wire season 5 theme song,single-entity,"['1102458_24', '6874862_0', '6874862_2']",0.3333333333333333,0.3333333333333333,0.0,unchanged,"['1102458_22', '6874862_2', '1102458_1', '1102458_45', '1102458_124']","['1102458_22_c0', '6874862_2_c0', '1102458_124_c0', '1102458_1_c0', '1102458_111_c2']"
who was the first english child born in north america,multi-entity,"['74546_28', '152308_0', '74546_12']",0.0,0.0,0.0,unchanged,"['1494_11', '1494_24', '30622317_6', '1494_8', '26740_33']","['1494_11_c0', '1494_24_c0', '30622317_6_c0', '1494_8_c0', '26740_33_c0']"
who won french open 2017 tennis tournament in men's double category,multi-entity,"['51884451_0', '53849670_2', '51884451_132']",0.3333333333333333,0.3333333333333333,0.0,unchanged,"['53849670_0', '630789_5', '53849670_3', '24810097_1', '630789_2']","['53849670_0_c0', '630789_5_c0', '53849670_3_c0', '24810097_1_c0', '630789_2_c0']"
who won game 4 of the 2000 nba finals,multi-entity,"['3177042_0', '3177042_1']",1.0,1.0,0.0,unchanged,"['3177042_0', '3177042_1', '3177042_22', '3177042_41', '3177042_16']","['3177042_0_c0', '3177042_1_c0', '3177042_22_c0', '3177042_41_c0', '3177042_16_c0']"
who won the fifth season of america's got talent,multi-entity,['27529608_2'],0.0,0.0,0.0,unchanged,"['1102458_118', '1102458_117', '1102458_120', '1102458_119', '1102458_57']","['1102458_118_c0', '1102458_117_c0', '1102458_120_c0', '1102458_119_c0', '1102458_57_c0']"
who won the men's single title of australia open on 1 february 2015,multi-entity,['44445163_1'],0.0,0.0,0.0,unchanged,"['53849670_0', '630789_5', '630789_2', '53849670_3', '49443283_1']","['53849670_0_c0', '630789_5_c0', '630789_2_c0', '53849670_3_c0', '49443283_1_c0']"
when was the movie cool hand luke made,single-entity,"['161897_0', '8134096_4', '161897_1']",1.0,0.6666666666666666,-0.33333333333333337,regressed,"['161897_62', '161897_1', '161897_0', '161897_72', '161897_42']","['161897_62_c0', '161897_1_c0', '161897_0_c0', '161897_72_c0', '161897_42_c0']"
