query,entity_group,ground_truth_chunk_ids,baseline_recall,candidate_recall,delta,outcome,baseline_top_5,candidate_top_5
when did the prr first begin its passenger service between pittsburgh and philadelphia,multi-entity,"['91934_1', '320965_0', '320965_11']",0.0,0.0,0.0,unchanged,"['1245539_25', '7470032_4', '691_10', '20013780_1', '691_71']","['1245539_25_c0', '7470032_4_c0', '691_10_c0', '20013780_1_c0', '691_71_c0']"
when did the song holiday road come out,single-entity,['22831408_1'],0.0,0.0,0.0,unchanged,"['361971_18', '361971_14', '361971_16', '33545013_19', '33545013_18']","['361971_18_c0', '361971_14_c0', '361971_16_c0', '33545013_19_c0', '33545013_18_c0']"
when did toyota first come to the united states,multi-entity,"['30984_55', '30984_0', '1303184_11']",0.0,0.0,0.0,unchanged,"['1245539_51', '47106911_111', '1245539_8', '1245539_50', '286327_39']","['47106911_111_c0', '1245539_51_c0', '1245539_50_c0', '1245539_8_c0', '286327_39_c0']"
when is the new series of keeping faith starting,single-entity,"['56023373_3', '56023373_0']",0.0,0.0,0.0,unchanged,"['1102458_127', '1102458_132', '1102458_129', '1102458_126', '12989608_3']","['1102458_127_c0', '1102458_132_c0', '1102458_129_c0', '1102458_126_c0', '12989608_3_c0']"
when was clash royale released in the us,single-entity,"['49103664_24', '49103664_1']",0.0,0.0,0.0,unchanged,"['33545013_18', '33545013_19', '12989608_6', '1102458_132', '1102458_129']","['33545013_19_c0', '33545013_18_c0', '12989608_6_c0', '1102458_129_c0', '1102458_132_c0']"
when was the 50th star added to the united states flag,multi-entity,['8872619_45'],1.0,1.0,0.0,unchanged,"['8872619_8', '8872619_37', '8872619_4', '8872619_7', '8872619_60']","['8872619_8_c0', '8872619_37_c0', '8872619_4_c0', '8872619_7_c0', '8872619_60_c0']"
when was the day that the pubs ran dry in the poem 9-3,multi-entity,['2697758_14'],0.0,0.0,0.0,unchanged,"['1102458_127', '3550050_28', '12989608_6', '9704619_28', '12989608_2']","['1102458_127_c0', '3550050_28_c0', '12989608_6_c0', '9704619_28_c0', '20274555_4_c0']"
when was the movie cool hand luke made,single-entity,"['161897_0', '8134096_4', '161897_1']",0.6666666666666666,0.6666666666666666,0.0,unchanged,"['161897_62', '161897_1', '8134096_4', '161897_4', '161897_73']","['161897_62_c0', '161897_1_c0', '8134096_4_c0', '161897_4_c0', '161897_73_c0']"
where are the spanish steps located in italy,multi-entity,"['2397816_4', '361971_1', '3116739_1']",0.6666666666666666,0.6666666666666666,0.0,unchanged,"['361971_1', '3116739_1', '361971_25', '361971_39', '361971_21']","['361971_1_c0', '3116739_1_c0', '361971_25_c0', '361971_39_c0', '361971_21_c0']"
where are the washington redskins based out of,single-entity,"['33673_1', '48447315_3']",0.5,0.5,0.0,unchanged,"['48447315_1', '48447315_2', '48447315_0', '48447315_3', '48447315_28']","['48447315_1_c0', '48447315_2_c0', '48447315_0_c0', '48447315_3_c0', '48447315_28_c0']"
where did the crown of thorns starfish come from,single-entity,"['607457_2', '607457_73', '607457_0']",0.0,0.0,0.0,unchanged,"['1471955_2', '26740_42', '1471955_38', '20013780_7', '226808_47']","['26740_42_c0', '1471955_2_c0', '1471955_38_c0', '226808_47_c0', '226808_14_c0']"
where does the coral sea meet the pacific ocean,single-entity,"['309666_1', '23070_24', '309666_0']",0.3333333333333333,0.3333333333333333,0.0,unchanged,"['23070_24', '23070_61', '23070_60', '23070_26', '23070_1']","['23070_24_c0', '23070_61_c0', '23070_60_c0', '23070_26_c0', '23070_1_c0']"
where does the red river start and end in louisiana,single-entity,"['194242_0', '194242_9', '194242_3']",0.0,0.0,0.0,unchanged,"['6143242_3', '2066382_4', '161897_47', '5715768_69', '126459_18']","['6143242_3_c0', '161897_47_c0', '1494_20_c0', '3550050_23_c0', '5715768_69_c0']"
where was the louisiana purchase signed in 1803,multi-entity,"['17628_40', '191926_1', '17628_19']",0.0,0.0,0.0,unchanged,"['8872619_8', '691_72', '691_70', '691_73', '3550050_7']","['691_72_c0', '8872619_8_c0', '691_70_c0', '691_73_c0', '3550050_7_c0']"
where's the pro bowl going to be this year,single-entity,"['52757315_1', '52757315_0', '52757315_4']",1.0,1.0,0.0,unchanged,"['52757315_1', '52757315_4', '52757315_0', '52757315_6', '52757315_31']","['52757315_4_c0', '52757315_1_c0', '52757315_0_c0', '52757315_6_c0', '52757315_31_c0']"
which abbott and costello movie has who on first,multi-entity,"['105969_11', '106089_6']",0.0,0.0,0.0,unchanged,"['8134096_40', '12989608_2', '1102458_49', '38331059_16', '1102458_10']","['8134096_40_c0', '12989608_2_c0', '38331059_16_c0', '1102458_49_c0', '1102458_10_c0']"
who are the judges on do you think you can dance,single-entity,"['38020871_0', '26401606_3', '38020871_21', '38020871_64']",0.0,0.0,0.0,unchanged,"['9704619_61', '9704619_62', '9704619_63', '5715768_11', '33545013_15']","['9704619_61_c0', '9704619_62_c0', '9704619_63_c0', '5715768_11_c0', '12989608_3_c0']"
who did michael showers play on vampire diaries,single-entity,"['32031867_6', '25517474_3']",0.0,0.0,0.0,unchanged,"['1102458_56', '1102458_10', '1102458_54', '1102458_57', '1102458_49']","['1102458_56_c0', '1102458_10_c0', '1102458_57_c0', '1102458_54_c0', '1102458_55_c0']"
who does the voice of cruz on cars 3,single-entity,"['41498488_1', '41498488_0', '41498488_47']",0.0,0.0,0.0,unchanged,"['1102458_55', '38331059_11', '1102458_56', '38331059_1', '33545013_6']","['1102458_55_c0', '38331059_11_c0', '1102458_56_c0', '38331059_1_c0', '38331059_8_c0']"
who donates a christmas tree to trafalgar square,single-entity,['22141582_1'],1.0,1.0,0.0,unchanged,"['22141582_1', '22141582_3', '22141582_7', '22141582_0', '22141582_12']","['22141582_1_c0', '22141582_3_c0', '22141582_7_c0', '22141582_0_c0', '22141582_12_c0']"
who had the most governmental power under the articles of confederation,single-entity,"['691_0', '691_16']",0.5,0.5,0.0,unchanged,"['691_49', '691_145', '691_66', '691_16', '691_151']","['691_49_c0', '691_145_c0', '691_66_c0', '691_16_c0', '691_151_c0']"
who has majority in the house and senate,single-entity,"['12844936_1', '12844936_0']",0.0,0.0,0.0,unchanged,"['30659757_1', '30622317_27', '30622317_26', '26740_25', '5715768_45']","['30659757_1_c0', '30622317_27_c0', '26740_25_c0', '8872619_56_c0', '1102458_84_c0']"
who has the most gold gloves at shortstop,single-entity,"['23318451_1', '23318451_2', '301428_5']",0.0,0.0,0.0,unchanged,"['630789_3', '1245539_82', '3522201_1', '6184889_2', '5715768_72']","['630789_3_c0', '1245539_82_c0', '3522201_1_c0', '161897_69_c0', '6184889_2_c0']"
who invented the first computer game in 1962 and what was the name of the game,multi-entity,"['5482854_0', '5482854_1', '5482854_22']",0.0,0.0,0.0,unchanged,"['1245539_9', '47300_2', '1245539_38', '47300_46', '44320604_3']","['1245539_9_c0', '47300_2_c0', '1245539_38_c0', '47300_46_c0', '44320604_3_c0']"
who is often associated with printing the first book using moveable type in germany,multi-entity,"['286327_1', '47300_46', '47300_4']",1.0,1.0,0.0,unchanged,"['47300_46', '286327_1', '47300_2', '47300_4', '286327_11']","['47300_46_c0', '286327_1_c0', '47300_2_c0', '47300_4_c0', '286327_11_c0']"
who played the nurse on andy griffith show,single-entity,"['3300249_12', '3300249_0']",0.0,0.0,0.0,unchanged,"['12989608_6', '1102458_56', '161897_18', '161897_19', '161897_45']","['12989608_6_c0', '1102458_56_c0', '161897_18_c0', '161897_19_c0', '161897_45_c0']"
who plays in the new mary poppins movie,single-entity,"['47886328_22', '47886328_1']",0.0,0.0,0.0,unchanged,"['1102458_55', '12989608_6', '12989608_1', '1102458_57', '1102458_54']","['1102458_55_c0', '12989608_6_c0', '12989608_1_c0', '1102458_54_c0', '1102458_53_c0']"
who proclaimed 5th october as world’s teachers day,multi-entity,"['2822215_0', '2822215_1']",1.0,1.0,0.0,unchanged,"['2822215_1', '2822215_5', '2822215_3', '2822215_0', '2822215_11']","['2822215_1_c0', '2822215_5_c0', '2822215_3_c0', '2822215_0_c0', '2822215_11_c0']"
who proposed evolution in 1859 as the basis of biological development,single-entity,"['21501970_2', '8787159_1', '1494_1']",0.3333333333333333,0.3333333333333333,0.0,unchanged,"['1494_52', '1494_1', '1494_2', '1494_68', '1494_74']","['1494_1_c0', '1494_52_c0', '1494_68_c1', '1494_2_c0', '1494_68_c0']"
who sang oh annie i not your daddy,single-entity,['51907344_1'],0.0,0.0,0.0,unchanged,"['361971_18', '33545013_12', '33545013_1', '361971_15', '8134096_6']","['361971_18_c0', '33545013_12_c0', '33545013_1_c0', '361971_19_c0', '8134096_6_c0']"
who sang the song should have been a cowboy,single-entity,"['682527_1', '11795344_1']",0.0,0.0,0.0,unchanged,"['8134096_6', '6874862_1', '33545013_15', '33545013_1', '33545013_12']","['8134096_6_c0', '6874862_1_c0', '361971_15_c0', '33545013_1_c0', '33545013_12_c0']"
who scored the most points in a single game in the nba,single-entity,['1960952_5'],0.0,0.0,0.0,unchanged,"['3177042_19', '3177042_30', '3177042_23', '3177042_21', '3177042_25']","['3177042_19_c0', '3177042_23_c1', '3177042_30_c0', '3177042_23_c0', '3177042_21_c0']"
who sings ive loved you for a thousand years,single-entity,"['33545013_1', '33545013_0', '33545013_6', '38980545_3', '33545013_18']",0.8,0.8,0.0,unchanged,"['33545013_1', '33545013_0', '33545013_3', '33545013_10', '361971_19']","['33545013_1_c0', '33545013_0_c0', '33545013_3_c0', '33545013_10_c0', '361971_19_c0']"
who sings the wire season 5 theme song,single-entity,"['1102458_24', '6874862_0', '6874862_2']",0.6666666666666666,0.6666666666666666,0.0,unchanged,"['6874862_2', '1102458_124', '1102458_22', '1102458_23', '1102458_103']","['6874862_2_c0', '1102458_124_c0', '1102458_22_c0', '1102458_117_c0', '1102458_23_c0']"
who was the first english child born in north america,multi-entity,"['74546_28', '152308_0', '74546_12']",0.0,0.0,0.0,unchanged,"['226808_101', '1494_8', '1494_11', '286327_39', '1245539_50']","['226808_101_c0', '1494_8_c0', '1494_11_c0', '286327_39_c0', '1245539_50_c0']"
who won french open 2017 tennis tournament in men's double category,multi-entity,"['51884451_0', '53849670_2', '51884451_132']",0.3333333333333333,0.3333333333333333,0.0,unchanged,"['53849670_0', '630789_5', '630789_2', '53849670_3', '24810097_1']","['53849670_0_c0', '630789_5_c0', '630789_2_c0', '53849670_3_c0', '53849670_2_c0']"
who won game 4 of the 2000 nba finals,multi-entity,"['3177042_0', '3177042_1']",1.0,1.0,0.0,unchanged,"['3177042_1', '3177042_22', '3177042_0', '3177042_26', '3177042_8']","['3177042_1_c0', '3177042_22_c0', '3177042_0_c0', '3177042_8_c0', '3177042_26_c0']"
who won the fifth season of america's got talent,multi-entity,['27529608_2'],0.0,0.0,0.0,unchanged,"['1102458_118', '1102458_119', '1102458_117', '1102458_57', '630789_5']","['1102458_118_c0', '1102458_117_c0', '1102458_119_c0', '630789_5_c0', '1102458_57_c0']"
who won the men's single title of australia open on 1 february 2015,multi-entity,['44445163_1'],0.0,0.0,0.0,unchanged,"['630789_5', '53849670_3', '1245539_53', '53849670_0', '630789_2']","['630789_5_c0', '53849670_3_c0', '1245539_53_c0', '53849670_0_c0', '630789_2_c0']"
